,Country,Year,Life expectancy,Children out of primary school,Deaths(HIV/AIDS),Incidence(HIV/AIDS),Prevalence(HIV/AIDS),Disability-Adjusted Life Years,Maternal mortality,Child mortality
119,AZE,1995,65.256,81334,30.787951027910704,70.5628723294,50.0896715504,46677.90971560947,86.0,9.41
120,AZE,1996,65.573,47885,34.134253593672575,73.1804185388,54.2582958246,46133.15694179121,77.0,9.19
121,AZE,1997,65.899,74182,37.41962930242546,76.3041368953,59.0525740256,45695.69665565046,73.0,8.86
122,AZE,1998,66.207,85221,40.72875547638344,79.4331066971,63.8936135393,45437.41522844596,66.0,8.440000000000001
123,AZE,1999,66.491,34837,44.24419574971605,82.1630074692,68.2502350877,44783.87375007557,61.0,7.96
124,AZE,2000,66.763,61173,47.89264718797417,84.1101693371,71.4856865179,43909.57452115064,48.0,7.43
125,AZE,2001,67.054,79138,51.57182739193607,84.9851995514,74.07959028169999,43027.033379857705,43.0,6.91
126,AZE,2002,67.391,79899,54.89968511281529,85.4598157202,76.8041392225,43026.18940671824,38.0,6.4
127,AZE,2003,67.791,88738,57.895198216509634,86.0249294882,79.4010162706,43184.12100171253,38.0,5.95
128,AZE,2004,68.249,78125,60.612085704352765,87.2273118239,81.6082535896,42756.47991416056,32.0,5.550000000000001
129,AZE,2005,68.747,77428,63.12142565535599,89.7786375594,83.2275431521,42287.06437675427,34.0,5.19
130,AZE,2006,69.259,73286,64.69099607383909,97.2998076158,85.6886954855,41211.45600891997,30.0,4.88
131,AZE,2007,69.752,71283,59.16148683011661,111.988338529,90.7631110336,39840.363575396834,29.0,4.6000000000000005
132,AZE,2008,70.201,70361,47.17103722319575,131.464254299,98.2708315331,39062.98142648687,28.0,4.3500000000000005
133,AZE,2009,70.597,61748,43.40883570804047,153.061654595,108.040156037,38278.51611408631,27.0,4.12
134,AZE,2010,70.938,64067,44.01669368751418,173.683024263,119.910413421,37788.98186286561,27.0,3.92
135,AZE,2011,71.234,49999,37.09521897504904,193.588735756,134.82576103,37275.04651331207,26.0,3.74
136,AZE,2012,71.506,38511,29.77281033942442,215.642841917,154.219844923,36703.48886851774,25.0,3.59
137,AZE,2013,71.768,8544,26.8443123781627,239.680009637,178.00019291700002,36113.94385920644,25.0,3.45
138,AZE,2014,72.022,3638,24.65333557498049,265.499436531,206.111556123,35631.63044859246,26.0,3.3200000000000003
139,AZE,2015,72.266,5980,26.72832826514121,292.887688459,238.587349696,35187.2504174158,25.0,3.2
140,BHS,1992,70.807,4053,111.86093776761156,294.89093177,210.398991367,33156.565987941474,45.0,2.15
141,BHS,1993,71.061,3959,150.0610481696095,287.380933293,234.006229368,33535.60088723418,45.0,2.0500000000000003
142,BHS,1994,71.276,2606,182.61371709273655,279.57018814,252.822263889,33879.54023001443,47.0,1.96
143,BHS,1999,71.858,3121,250.60813291247095,237.657815607,276.98404467,33160.264157727506,58.0,1.62
144,BHS,2004,71.988,3889,191.98817140165144,226.654187308,272.531570132,30224.86894395644,71.0,1.63
145,BHS,2005,71.987,3445,159.19027917840774,227.852963016,277.303624402,29430.48083729306,74.0,1.62
146,BHS,2006,71.988,5043,174.51095112852653,229.035265992,283.8936971,29860.60956218715,78.0,1.6
147,BHS,2007,71.998,4796,134.97524619792603,229.536050592,291.26972267400004,29170.209228611533,78.0,1.56
148,BHS,2008,72.022,5275,128.004800448921,230.412555281,299.980498373,29157.3168131106,82.0,1.51
149,BHS,2009,72.067,6819,127.88732171435905,232.520648453,310.477288842,29376.74905279103,80.0,1.4500000000000002
150,BHS,2010,72.144,7390,116.32452846420192,236.720221117,323.302912549,29326.397076906454,85.0,1.38
151,BHS,2011,72.263,4371,115.0388013634651,244.388625314,338.18239353700005,29395.985971862105,86.0,1.32
