country,year,adj_enrollment,out_school_percentage,out_school,first_grade_percentage,overage_percentage,grade_5_percentage,last_grade,completion_rate,pupils,repeater_percentage,enrollment_gross_percentage,enrollment_net_percentage
LSO,2000,74.70101,25.2989902496338,95107.0,184.56351,30.5501,67.1598205566406,55.0299797058105,56.7487602233887,410745.0,18.30308,109.260452270508,74.50071
LSO,2001,76.52747,23.4725303649902,86658.0,133.47515,30.80623,72.8161315917969,58.9946708679199,59.6558113098145,415007.0,19.61774,112.410453796387,76.2845
LSO,2002,79.17065,20.8293495178223,75130.0,117.66659,31.07976,77.0280380249023,67.2267303466797,62.1577987670898,418668.0,21.17406,116.073226928711,78.78223
LSO,2003,81.89657,18.1034297943115,63593.0,119.07053,32.30452,63.4228401184082,57.0971298217773,65.5700607299805,429720.0,21.69622,122.331161499023,81.61161
LSO,2004,82.19904,17.8009605407715,60828.0,127.06815,33.64707,73.3733215332031,61.2707595825195,69.2990417480469,427009.0,18.16824,124.96166229248,81.89118
LSO,2005,84.07836,15.9216403961182,52917.0,116.57799,33.45213,74.3095016479492,63.1182594299316,65.7982864379883,422278.0,20.53529,127.054779052734,83.75431
LSO,2006,86.43179,13.5682096481323,44134.0,118.56024,32.96254,62.1677284240723,46.3931312561035,85.5823135375977,424855.0,20.94597,130.614105224609,86.06502
LSO,2007,84.86278,15.1372203826904,48465.0,112.7337,31.08921,80.411262512207,65.2390518188477,82.5888366699219,400943.0,20.9855,125.227767944336,84.60323
LSO,2008,86.58138,13.4186201095581,42491.0,110.13868,29.88807,72.0044631958008,59.3718490600586,81.5298919677734,396041.0,21.15311,125.069396972656,86.17053
LSO,2009,87.21236,12.7876396179199,40156.0,116.36008,28.70496,80.4762725830078,69.2980728149414,83.2107162475586,389424.0,19.82004,124.011688232422,86.82353
LSO,2010,89.22799,10.7720098495483,33563.0,114.01701,27.79091,75.3504333496094,63.8545303344727,86.9931411743164,388681.0,20.01461,124.746772766113,88.6368
LSO,2011,89.4223,10.5776996612549,33121.0,114.21214,26.36021,76.4353713989258,63.9021492004395,85.5706481933594,385437.0,18.33659,123.095230102539,88.93112
LSO,2012,89.6563,10.3437004089355,32551.0,117.64156,25.1458,69.0806884765625,56.7543716430664,83.2772827148438,381690.0,16.66614,121.289253234863,89.19998
LSO,2013,86.90283,9.35521030426025,29491.0,112.60702,24.89789,79.5611801147461,67.3594818115234,82.9818496704102,369469.0,13.66745,117.203941345215,86.3829
LSO,2014,87.8859,9.11734008789063,28626.0,116.06693,23.86162,77.3252182006836,64.8559722900391,82.2304916381836,366048.0,8.7494,116.585823059082,87.35942
LSO,2015,89.23853,7.61659002304077,23616.0,120.18129,22.61024,83.7048187255859,69.2823867797852,81.7555465698242,361637.0,8.39599,116.634521484375,88.60833
LSO,2016,91.20179,5.33576011657715,16355.0,118.67385,21.73547,,,85.6288528442383,360756.0,9.16797,117.695266723633,90.57671
LSO,2017,,2.43418002128601,7408.0,119.70454,21.07759,,,,367931.0,,120.897499084473,93.31062
LSO,2018,,6.818039894104,,,,,,,,,,
LSO,2019,,,,,,,,,,,,
LSO,2020,,,,,,,,,,,,
